Number of months analyzed: 60
Sentiment Analysis for October 2012: 0.050697453547
Sentiment Analysis for November 2012: 0.135175551317
Sentiment Analysis for December 2012: 0.050017737293
Sentiment Analysis for January 2013: 0.082804493923
Sentiment Analysis for February 2013: 0.107952478897
Sentiment Analysis for March 2013: 0.110095169125
Sentiment Analysis for April 2013: 0.106572318422
Sentiment Analysis for May 2013: 0.117998284753
Sentiment Analysis for June 2013: 0.128639101792
Sentiment Analysis for July 2013: 0.0985333289899
Sentiment Analysis for August 2013: 0.13253548701
Sentiment Analysis for September 2013: 0.0455224289087
Sentiment Analysis for October 2013: 0.0723515286363
Sentiment Analysis for November 2013: 0.0835498638266
Sentiment Analysis for December 2013: 0.00733673326952
Sentiment Analysis for January 2014: 0.0605375829158
Sentiment Analysis for February 2014: 0.0677094814015
Sentiment Analysis for March 2014: 0.0946887018839
Sentiment Analysis for April 2014: 0.0777688502197
Sentiment Analysis for May 2014: 0.0875655326647
Sentiment Analysis for June 2014: 0.125229482776
Sentiment Analysis for July 2014: 0.0646985720757
Sentiment Analysis for August 2014: 0.174178262214
Sentiment Analysis for September 2014: 0.1003422222
Sentiment Analysis for October 2014: 0.132905941501
Sentiment Analysis for November 2014: 0.0964776433612
Sentiment Analysis for December 2014: 0.102834240082
Sentiment Analysis for January 2015: 0.0993219097299
Sentiment Analysis for February 2015: 0.0741891827416
Sentiment Analysis for March 2015: 0.0585116186947
Sentiment Analysis for April 2015: 0.067939148384
Sentiment Analysis for May 2015: 0.110297434805
Sentiment Analysis for June 2015: 0.137167470993
Sentiment Analysis for July 2015: 0.150838047369
Sentiment Analysis for August 2015: 0.150666687228
Sentiment Analysis for September 2015: 0.141448179058
Sentiment Analysis for October 2015: 0.122688340256
Sentiment Analysis for November 2015: 0.135208929005
Sentiment Analysis for December 2015: 0.138484196094
Sentiment Analysis for January 2016: 0.14768176117
Sentiment Analysis for February 2016: 0.111197870082
Sentiment Analysis for March 2016: 0.118743364754
Sentiment Analysis for April 2016: 0.121899433076
Sentiment Analysis for May 2016: 0.181570810848
Sentiment Analysis for June 2016: 0.186036305426
Sentiment Analysis for July 2016: 0.218225750657
Sentiment Analysis for August 2016: 0.174901307098
Sentiment Analysis for September 2016: 0.157875375842
Sentiment Analysis for October 2016: 0.119370274338
Sentiment Analysis for November 2016: 0.185597399772
Sentiment Analysis for December 2016: 0.13687308031
Sentiment Analysis for January 2017: 0.225354737855
Sentiment Analysis for February 2017: 0.124071548822
Sentiment Analysis for March 2017: 0.14438306724
Sentiment Analysis for April 2017: 0.0463922097732
Sentiment Analysis for May 2017: 0.136019520603
Sentiment Analysis for June 2017: 0.111490927335
Sentiment Analysis for July 2017: 0.127357004174
Sentiment Analysis for August 2017: 0.146486337642
Sentiment Analysis for September 2017: 0.132505459678
